Plate,Sample,Yield,Dilution,Well,Max V [420],kobs,S,Vmax correction per [S]
30,wt11,1.3,0.01,A1,1.25E-01,8.69E+02,0.075,4.81E-07
30,wt11,1.3,0.01,B1,7.04E-02,4.91E+02,0.01875,3.83E-07
30,wt11,1.3,0.01,C1,4.63E-02,3.23E+02,0.00469,2.90E-07
30,wt11,1.3,0.01,D1,2.02E-02,1.41E+02,0.00117,2.78E-07
30,wt11,1.3,0.01,E1,5.92E-03,4.13E+01,0.00029,1.57E-07
30,wt11,1.3,0.01,F1,1.63E-03,1.14E+01,0.00007,4.12E-07
30,wt11,1.3,0.01,G1,4.08E-04,2.84E+00,0.00002,3.65E-07
30,wt11,1.3,0.01,H1,1.82E-05,1.27E-01,0,4.26E-07
30,wt11,1.3,0.01,A2,1.15E-01,7.99E+02,0.075,4.81E-07
30,wt11,1.3,0.01,B2,7.11E-02,4.96E+02,0.01875,3.83E-07
30,wt11,1.3,0.01,C2,4.59E-02,3.20E+02,0.00469,2.90E-07
30,wt11,1.3,0.01,D2,1.92E-02,1.34E+02,0.00117,2.78E-07
30,wt11,1.3,0.01,E2,6.06E-03,4.23E+01,0.00029,1.57E-07
30,wt11,1.3,0.01,F2,1.57E-03,1.10E+01,0.00007,4.12E-07
30,wt11,1.3,0.01,G2,5.06E-04,3.53E+00,0.00002,3.65E-07
30,wt11,1.3,0.01,H2,2.69E-06,1.88E-02,0,4.26E-07
30,wt11,1.3,0.01,A3,1.03E-01,7.17E+02,0.075,4.81E-07
30,wt11,1.3,0.01,B3,7.20E-02,5.02E+02,0.01875,3.83E-07
30,wt11,1.3,0.01,C3,4.61E-02,3.22E+02,0.00469,2.90E-07
30,wt11,1.3,0.01,D3,1.83E-02,1.28E+02,0.00117,2.78E-07
30,wt11,1.3,0.01,E3,5.78E-03,4.03E+01,0.00029,1.57E-07
30,wt11,1.3,0.01,F3,1.48E-03,1.03E+01,0.00007,4.12E-07
30,wt11,1.3,0.01,G3,4.15E-04,2.89E+00,0.00002,3.65E-07
30,wt11,1.3,0.01,H3,-1.58E-05,-1.10E-01,0,4.26E-07
30,w120h,1,0.01,A4,4.22E-03,3.83E+01,0.075,4.81E-07
30,w120h,1,0.01,B4,1.63E-03,1.47E+01,0.01875,3.83E-07
30,w120h,1,0.01,C4,5.02E-04,4.55E+00,0.00469,2.90E-07
30,w120h,1,0.01,D4,1.81E-04,1.64E+00,0.00117,2.78E-07
30,w120h,1,0.01,E4,6.49E-05,5.88E-01,0.00029,1.57E-07
30,w120h,1,0.01,F4,2.48E-05,2.25E-01,0.00007,4.12E-07
30,w120h,1,0.01,G4,5.23E-05,4.74E-01,0.00002,3.65E-07
30,w120h,1,0.01,H4,1.52E-05,1.38E-01,0,4.26E-07
30,w120h,1,0.01,A5,4.27E-03,3.87E+01,0.075,4.81E-07
30,w120h,1,0.01,B5,1.57E-03,1.42E+01,0.01875,3.83E-07
30,w120h,1,0.01,C5,5.04E-04,4.57E+00,0.00469,2.90E-07
30,w120h,1,0.01,D5,1.63E-04,1.48E+00,0.00117,2.78E-07
30,w120h,1,0.01,E5,7.31E-05,6.63E-01,0.00029,1.57E-07
30,w120h,1,0.01,F5,2.01E-05,1.82E-01,0.00007,4.12E-07
30,w120h,1,0.01,G5,1.35E-05,1.23E-01,0.00002,3.65E-07
